method,R,T,repeat,seconds
sequential,10,100,0,2.3082999999979315e-05
dac,10,100,0,0.0001423329999999945
sequential,10,100,1,2.250000000003638e-05
dac,10,100,1,0.00014158300000000068
sequential,10,100,2,2.1959000000015827e-05
dac,10,100,2,0.00014137499999999914
sequential,10,100,3,2.1916000000010705e-05
dac,10,100,3,0.00014099999999994672
sequential,10,100,4,2.1625000000025096e-05
dac,10,100,4,0.0001391250000000177
sequential,10,100,5,2.1708999999980882e-05
dac,10,100,5,0.00013929199999995756
sequential,10,100,6,2.179199999996495e-05
dac,10,100,6,0.0001414579999999832
sequential,10,100,7,2.0332999999927992e-05
dac,10,100,7,0.00013162499999996857
sequential,10,100,8,2.04169999999948e-05
dac,10,100,8,0.00013124999999991616
sequential,10,100,9,2.0166999999959856e-05
dac,10,100,9,0.00012979200000007296
sequential,10,100,10,2.0125000000037474e-05
dac,10,100,10,0.00012962500000002208
sequential,10,100,11,2.0125000000037474e-05
dac,10,100,11,0.00012920899999990798
sequential,10,100,12,2.008300000000407e-05
dac,10,100,12,0.00012941600000004883
sequential,10,100,13,1.999999999990898e-05
dac,10,100,13,0.0001295000000000046
sequential,10,100,14,2.0000000000020002e-05
dac,10,100,14,0.0001287920000000442
sequential,10,100,15,2.0208000000021542e-05
dac,10,100,15,0.00012895800000001234
sequential,10,100,16,2.5416999999916534e-05
dac,10,100,16,0.00012895800000001234
sequential,10,100,17,2.0166999999959856e-05
dac,10,100,17,0.00012866600000005501
sequential,10,100,18,2.0000000000020002e-05
dac,10,100,18,0.00012858400000004266
sequential,10,100,19,1.9957999999986598e-05
dac,10,100,19,0.00013174999999998604
sequential,10,100,20,1.9959000000069338e-05
dac,10,100,20,0.0001287500000000108
sequential,10,100,21,2.0040999999970666e-05
dac,10,100,21,0.00012812500000003446
sequential,10,100,22,2.0041999999942384e-05
dac,10,100,22,0.00013366699999994847
sequential,10,100,23,2.0291999999977328e-05
dac,10,100,23,0.0001287079999999774
sequential,10,100,24,1.9917000000035934e-05
dac,10,100,24,0.00012849999999997586
sequential,10,100,25,2.029100000000561e-05
dac,10,100,25,0.0001282499999999409
sequential,10,100,26,2.0041999999942384e-05
dac,10,100,26,0.00012987500000005703
sequential,10,100,27,2.0125000000037474e-05
dac,10,100,27,0.00013145800000002872
sequential,10,100,28,1.991699999992491e-05
dac,10,100,28,0.0001311670000000431
sequential,10,100,29,1.9624999999967585e-05
dac,10,100,29,0.00013133300000001125
sequential,10,100,30,1.999999999990898e-05
dac,10,100,30,0.00013016600000004264
sequential,10,100,31,1.9957999999986598e-05
dac,10,100,31,0.0001295000000000046
sequential,10,100,32,2.0667000000029745e-05
dac,10,100,32,0.0001315840000000179
sequential,10,100,33,2.037500000007242e-05
dac,10,100,33,0.0001287500000000108
sequential,10,100,34,2.0249999999943924e-05
dac,10,100,34,0.0001291249999999522
sequential,10,100,35,2.029100000000561e-05
dac,10,100,35,0.0001291669999999856
sequential,10,100,36,2.0167000000070878e-05
dac,10,100,36,0.00012895800000001234
sequential,10,100,37,2.0333000000039014e-05
dac,10,100,37,0.00012862499999999333
sequential,10,100,38,2.254199999995876e-05
dac,10,100,38,0.00012862499999999333
sequential,10,100,39,2.008300000000407e-05
dac,10,100,39,0.00014370800000007566
sequential,10,100,40,3.195899999997032e-05
dac,10,100,40,0.00013458399999999315
sequential,10,100,41,2.16670000000585e-05
dac,10,100,41,0.0001303750000000159
sequential,10,100,42,2.0875000000031285e-05
dac,10,100,42,0.00012933399999992545
sequential,10,100,43,2.083299999999788e-05
dac,10,100,43,0.000129874999999946
sequential,10,100,44,2.049999999997887e-05
dac,10,100,44,0.00012962500000002208
sequential,10,100,45,2.0875000000031285e-05
dac,10,100,45,0.00012941700000002054
sequential,10,100,46,2.300000000010627e-05
dac,10,100,46,0.0001295000000000046
sequential,10,100,47,2.0582999999962936e-05
dac,10,100,47,0.00013024999999999842
sequential,10,100,48,2.0584000000045677e-05
dac,10,100,48,0.00013191599999995418
sequential,10,100,49,2.062499999999634e-05
dac,10,100,49,0.00013141699999996703
sequential,20,100,0,3.958400000003692e-05
dac,20,100,0,0.00014025000000006393
sequential,20,100,1,3.937499999995264e-05
dac,20,100,1,0.00013816700000002236
sequential,20,100,2,3.945900000001945e-05
dac,20,100,2,0.00013762500000003008
sequential,20,100,3,3.945800000004773e-05
dac,20,100,3,0.00013733300000007276
sequential,20,100,4,3.9499999999970115e-05
dac,20,100,4,0.00013724999999997767
sequential,20,100,5,6.491699999999767e-05
dac,20,100,5,0.00022658300000000242
sequential,20,100,6,4.300000000001525e-05
